City,Timestamp,Temperature,Humidity,Description
Kolkata,2023-12-23 00:00:00,291.56,65,scattered clouds
Kolkata,2023-12-23 03:00:00,295.5,52,broken clouds
Kolkata,2023-12-23 06:00:00,299.68,39,broken clouds
Kolkata,2023-12-23 09:00:00,301.15,35,broken clouds
Kolkata,2023-12-23 12:00:00,298.08,42,broken clouds
Kolkata,2023-12-23 15:00:00,295.91,49,overcast clouds
Kolkata,2023-12-23 18:00:00,294.35,55,overcast clouds
Kolkata,2023-12-23 21:00:00,293.0,62,broken clouds
Kolkata,2023-12-24 00:00:00,291.94,67,scattered clouds
Kolkata,2023-12-24 03:00:00,295.54,54,broken clouds
Kolkata,2023-12-24 06:00:00,299.91,40,scattered clouds
Kolkata,2023-12-24 09:00:00,301.73,33,clear sky
Kolkata,2023-12-24 12:00:00,298.43,41,clear sky
Kolkata,2023-12-24 15:00:00,296.27,48,clear sky
Kolkata,2023-12-24 18:00:00,294.69,53,clear sky
Kolkata,2023-12-24 21:00:00,293.46,57,clear sky
Kolkata,2023-12-25 00:00:00,292.29,61,clear sky
Kolkata,2023-12-25 03:00:00,296.07,49,clear sky
Kolkata,2023-12-25 06:00:00,300.53,35,clear sky
Kolkata,2023-12-25 09:00:00,302.01,29,clear sky
Kolkata,2023-12-25 12:00:00,298.2,36,clear sky
Kolkata,2023-12-25 15:00:00,296.16,42,clear sky
Kolkata,2023-12-25 18:00:00,294.67,46,clear sky
Kolkata,2023-12-25 21:00:00,293.3,50,clear sky
Kolkata,2023-12-26 00:00:00,292.06,56,clear sky
Kolkata,2023-12-26 03:00:00,296.05,47,clear sky
Kolkata,2023-12-26 06:00:00,300.63,33,clear sky
Kolkata,2023-12-26 09:00:00,301.79,26,clear sky
Kolkata,2023-12-26 12:00:00,297.86,35,clear sky
Chennai,2023-12-21 15:00:00,299.14,78,scattered clouds
Chennai,2023-12-21 18:00:00,298.55,75,scattered clouds
Chennai,2023-12-21 21:00:00,297.93,72,broken clouds
Chennai,2023-12-22 00:00:00,296.72,71,scattered clouds
Chennai,2023-12-22 03:00:00,297.88,69,scattered clouds
Chennai,2023-12-22 06:00:00,299.16,63,broken clouds
Chennai,2023-12-22 09:00:00,299.22,62,overcast clouds
Chennai,2023-12-22 12:00:00,297.75,68,overcast clouds
Chennai,2023-12-22 15:00:00,297.25,69,overcast clouds
Chennai,2023-12-22 18:00:00,296.79,72,overcast clouds
Chennai,2023-12-22 21:00:00,296.33,73,overcast clouds
Chennai,2023-12-23 00:00:00,296.08,74,overcast clouds
Chennai,2023-12-23 03:00:00,297.89,67,overcast clouds
Chennai,2023-12-23 06:00:00,299.34,61,overcast clouds
Chennai,2023-12-23 09:00:00,299.09,62,overcast clouds
Chennai,2023-12-23 12:00:00,297.97,68,overcast clouds
Chennai,2023-12-23 15:00:00,297.59,70,overcast clouds
Chennai,2023-12-23 18:00:00,297.07,72,overcast clouds
Chennai,2023-12-23 21:00:00,297.58,68,overcast clouds
Chennai,2023-12-24 00:00:00,296.42,74,broken clouds
Chennai,2023-12-24 03:00:00,297.73,74,scattered clouds
Chennai,2023-12-24 06:00:00,300.03,67,scattered clouds
Chennai,2023-12-24 09:00:00,299.71,69,overcast clouds
Chennai,2023-12-24 12:00:00,298.72,74,overcast clouds
Chennai,2023-12-24 15:00:00,298.3,78,broken clouds
Chennai,2023-12-24 18:00:00,298.26,79,broken clouds
Chennai,2023-12-24 21:00:00,297.94,81,overcast clouds
Chennai,2023-12-25 00:00:00,297.76,82,overcast clouds
Chennai,2023-12-25 03:00:00,298.18,81,light rain
Chennai,2023-12-25 06:00:00,300.04,75,light rain
Chennai,2023-12-25 09:00:00,300.28,72,light rain
Chennai,2023-12-25 12:00:00,299.06,75,scattered clouds
Chennai,2023-12-25 15:00:00,298.32,76,broken clouds
Chennai,2023-12-25 18:00:00,297.89,78,broken clouds
Chennai,2023-12-25 21:00:00,297.56,79,broken clouds
Chennai,2023-12-26 00:00:00,297.35,78,broken clouds
Chennai,2023-12-26 03:00:00,297.12,79,overcast clouds
Chennai,2023-12-26 06:00:00,299.46,70,overcast clouds
Chennai,2023-12-26 09:00:00,300.48,61,overcast clouds
Chennai,2023-12-26 12:00:00,298.93,70,broken clouds
Bengaluru,2023-12-21 15:00:00,295.95,78,few clouds
Bengaluru,2023-12-21 18:00:00,294.56,82,scattered clouds
Bengaluru,2023-12-21 21:00:00,292.38,88,broken clouds
Bengaluru,2023-12-22 00:00:00,290.02,93,overcast clouds
Bengaluru,2023-12-22 03:00:00,292.43,79,overcast clouds
Bengaluru,2023-12-22 06:00:00,296.65,58,overcast clouds
Bengaluru,2023-12-22 09:00:00,299.97,42,broken clouds
Bengaluru,2023-12-22 12:00:00,297.83,50,broken clouds
Bengaluru,2023-12-22 15:00:00,293.89,63,broken clouds
Bengaluru,2023-12-22 18:00:00,291.15,79,broken clouds
Bengaluru,2023-12-22 21:00:00,289.99,85,broken clouds
Bengaluru,2023-12-23 00:00:00,289.3,88,overcast clouds
Bengaluru,2023-12-23 03:00:00,291.87,73,overcast clouds
Bengaluru,2023-12-23 06:00:00,298.17,33,overcast clouds
